"","year","depth","season","species"
"614",2004,471,"Spring","Black Dogfish"
"615",2004,439,"Spring","Black Dogfish"
"616",2004,317,"Spring","Black Dogfish"
"617",2004,471,"Spring","Black Dogfish"
"618",2004,464,"Spring","Black Dogfish"
"619",2004,451,"Spring","Black Dogfish"
"620",2004,464,"Spring","Black Dogfish"
"621",2004,465,"Spring","Black Dogfish"
"622",2004,461,"Spring","Black Dogfish"
"623",2004,451,"Spring","Black Dogfish"
"624",2004,455,"Spring","Black Dogfish"
"625",2004,456,"Spring","Black Dogfish"
"626",2004,456,"Spring","Black Dogfish"
"627",2004,456,"Spring","Black Dogfish"
"628",2004,420,"Spring","Black Dogfish"
"629",2004,433,"Spring","Black Dogfish"
"630",2004,437,"Spring","Black Dogfish"
"631",2004,446,"Spring","Black Dogfish"
"632",2004,422,"Spring","Black Dogfish"
"633",2004,422,"Spring","Black Dogfish"
"634",2004,252,"Spring","Black Dogfish"
"635",2004,395,"Spring","Black Dogfish"
"636",2004,453,"Spring","Black Dogfish"
"639",2004,595,"Fall","Black Dogfish"
"640",2004,586,"Fall","Black Dogfish"
"642",2005,389,"Spring","Black Dogfish"
"643",2005,582,"Spring","Black Dogfish"
"644",2005,438,"Spring","Black Dogfish"
"645",2005,453,"Spring","Black Dogfish"
"646",2005,435,"Spring","Black Dogfish"
"647",2005,464,"Spring","Black Dogfish"
"648",2005,490,"Spring","Black Dogfish"
"649",2005,470,"Spring","Black Dogfish"
"650",2005,463,"Spring","Black Dogfish"
"651",2005,465,"Spring","Black Dogfish"
"652",2005,463,"Spring","Black Dogfish"
"653",2005,453,"Spring","Black Dogfish"
"654",2005,346,"Spring","Black Dogfish"
"655",2005,332,"Spring","Black Dogfish"
"656",2005,327,"Spring","Black Dogfish"
"657",2005,312,"Spring","Black Dogfish"
"658",2005,451,"Spring","Black Dogfish"
"659",2005,458,"Spring","Black Dogfish"
"660",2005,461,"Spring","Black Dogfish"
"661",2005,466,"Spring","Black Dogfish"
"662",2005,249,"Spring","Black Dogfish"
"663",2005,293,"Spring","Black Dogfish"
"664",2005,441,"Spring","Black Dogfish"
"665",2005,443,"Spring","Black Dogfish"
"666",2005,440,"Spring","Black Dogfish"
"667",2005,438,"Spring","Black Dogfish"
"668",2005,435,"Spring","Black Dogfish"
"669",2005,418,"Spring","Black Dogfish"
"670",2005,418,"Spring","Black Dogfish"
"671",2005,457,"Spring","Black Dogfish"
"672",2005,444,"Spring","Black Dogfish"
"673",2005,250,"Spring","Black Dogfish"
"678",2005,503,"Fall","Black Dogfish"
"679",2005,570,"Fall","Black Dogfish"
"680",2006,424,"Spring","Black Dogfish"
"681",2006,446,"Spring","Black Dogfish"
"682",2006,399,"Spring","Black Dogfish"
"683",2006,212,"Spring","Black Dogfish"
"686",2006,579,"Fall","Black Dogfish"
"688",2007,341,"Spring","Black Dogfish"
"689",2007,339,"Spring","Black Dogfish"
"690",2007,438,"Spring","Black Dogfish"
"691",2007,453,"Spring","Black Dogfish"
"692",2007,435,"Spring","Black Dogfish"
"693",2007,436,"Spring","Black Dogfish"
"694",2007,435,"Spring","Black Dogfish"
"695",2007,428,"Spring","Black Dogfish"
"696",2007,420,"Spring","Black Dogfish"
"697",2007,420,"Spring","Black Dogfish"
"698",2007,417,"Spring","Black Dogfish"
"699",2007,463,"Spring","Black Dogfish"
"700",2007,457,"Spring","Black Dogfish"
"701",2007,457,"Spring","Black Dogfish"
"702",2007,457,"Spring","Black Dogfish"
"703",2007,456,"Spring","Black Dogfish"
"704",2007,448,"Spring","Black Dogfish"
"705",2007,461,"Spring","Black Dogfish"
"706",2007,457,"Spring","Black Dogfish"
"707",2007,463,"Spring","Black Dogfish"
"708",2007,349,"Spring","Black Dogfish"
"709",2007,430,"Spring","Black Dogfish"
"710",2007,462,"Spring","Black Dogfish"
"711",2007,485,"Spring","Black Dogfish"
"712",2007,461,"Spring","Black Dogfish"
"713",2007,442,"Spring","Black Dogfish"
"714",2007,414,"Spring","Black Dogfish"
"715",2007,448,"Spring","Black Dogfish"
"716",2007,349,"Spring","Black Dogfish"
"718",2007,583,"Spring","Black Dogfish"
"719",2007,408,"Spring","Black Dogfish"
"720",2007,382,"Spring","Black Dogfish"
"721",2007,575,"Spring","Black Dogfish"
"722",2007,597,"Spring","Black Dogfish"
"728",2007,401,"Fall","Black Dogfish"
"729",2007,599,"Fall","Black Dogfish"
"730",2007,579,"Fall","Black Dogfish"
"732",2008,338,"Spring","Black Dogfish"
"733",2008,328,"Spring","Black Dogfish"
"734",2008,296,"Spring","Black Dogfish"
"735",2008,426,"Spring","Black Dogfish"
"736",2008,454,"Spring","Black Dogfish"
"737",2008,450,"Spring","Black Dogfish"
"738",2008,419,"Spring","Black Dogfish"
"739",2008,422,"Spring","Black Dogfish"
"740",2008,454,"Spring","Black Dogfish"
"741",2008,454,"Spring","Black Dogfish"
"742",2008,457,"Spring","Black Dogfish"
"743",2008,462,"Spring","Black Dogfish"
"744",2008,454,"Spring","Black Dogfish"
"745",2008,463,"Spring","Black Dogfish"
"746",2008,465,"Spring","Black Dogfish"
"747",2008,460,"Spring","Black Dogfish"
"748",2008,460,"Spring","Black Dogfish"
"749",2008,456,"Spring","Black Dogfish"
"750",2008,311,"Spring","Black Dogfish"
"751",2008,398,"Spring","Black Dogfish"
"752",2008,406,"Spring","Black Dogfish"
"753",2008,412,"Spring","Black Dogfish"
"754",2008,391,"Spring","Black Dogfish"
"755",2008,374,"Spring","Black Dogfish"
"756",2008,456,"Spring","Black Dogfish"
"757",2008,449,"Spring","Black Dogfish"
"762",2008,585,"Fall","Black Dogfish"
"764",2011,301,"Spring","Black Dogfish"
"765",2011,418,"Spring","Black Dogfish"
"766",2011,349,"Spring","Black Dogfish"
"767",2011,323,"Spring","Black Dogfish"
"768",2011,454,"Spring","Black Dogfish"
"769",2011,389,"Spring","Black Dogfish"
"770",2011,440,"Spring","Black Dogfish"
"771",2011,429,"Spring","Black Dogfish"
"772",2011,421,"Spring","Black Dogfish"
"773",2011,452,"Spring","Black Dogfish"
"774",2011,455,"Spring","Black Dogfish"
"775",2011,306,"Spring","Black Dogfish"
"776",2011,335,"Spring","Black Dogfish"
"777",2011,315,"Spring","Black Dogfish"
"778",2011,412,"Spring","Black Dogfish"
"779",2011,453,"Spring","Black Dogfish"
"780",2011,455,"Spring","Black Dogfish"
"781",2011,453,"Spring","Black Dogfish"
"782",2011,414,"Spring","Black Dogfish"
"783",2011,449,"Spring","Black Dogfish"
"784",2011,457,"Spring","Black Dogfish"
"785",2011,461,"Spring","Black Dogfish"
"786",2011,459,"Spring","Black Dogfish"
"787",2011,456,"Spring","Black Dogfish"
"788",2011,440,"Spring","Black Dogfish"
"789",2011,425,"Spring","Black Dogfish"
"791",2011,438,"Spring","Black Dogfish"
"794",2011,571,"Fall","Black Dogfish"
"796",2012,328,"Spring","Black Dogfish"
"797",2012,296,"Spring","Black Dogfish"
"798",2012,421,"Spring","Black Dogfish"
"799",2012,448,"Spring","Black Dogfish"
"800",2012,438,"Spring","Black Dogfish"
"801",2012,429,"Spring","Black Dogfish"
"802",2012,444,"Spring","Black Dogfish"
"803",2012,330,"Spring","Black Dogfish"
"804",2012,258,"Spring","Black Dogfish"
"805",2012,402,"Spring","Black Dogfish"
"806",2012,457,"Spring","Black Dogfish"
"807",2012,343,"Spring","Black Dogfish"
"808",2012,465,"Spring","Black Dogfish"
"809",2012,454,"Spring","Black Dogfish"
"810",2012,416,"Spring","Black Dogfish"
"811",2012,413,"Spring","Black Dogfish"
"812",2012,455,"Spring","Black Dogfish"
"813",2012,448,"Spring","Black Dogfish"
"814",2012,449,"Spring","Black Dogfish"
"815",2012,458,"Spring","Black Dogfish"
"816",2012,441,"Spring","Black Dogfish"
"817",2012,476,"Spring","Black Dogfish"
"818",2012,484,"Spring","Black Dogfish"
"819",2012,476,"Spring","Black Dogfish"
"820",2012,465,"Spring","Black Dogfish"
"821",2012,467,"Spring","Black Dogfish"
"822",2012,466,"Spring","Black Dogfish"
"823",2012,349,"Spring","Black Dogfish"
"824",2012,405,"Spring","Black Dogfish"
"825",2012,438,"Spring","Black Dogfish"
"826",2012,312,"Spring","Black Dogfish"
"827",2012,449,"Spring","Black Dogfish"
"831",2012,405,"Spring","Black Dogfish"
"834",2012,350,"Fall","Black Dogfish"
"835",2012,589,"Fall","Black Dogfish"
"836",2012,440,"Fall","Black Dogfish"
"837",2012,589,"Fall","Black Dogfish"
"838",2013,327,"Spring","Black Dogfish"
"839",2013,332,"Spring","Black Dogfish"
"840",2013,405,"Spring","Black Dogfish"
"841",2013,436,"Spring","Black Dogfish"
"842",2013,447,"Spring","Black Dogfish"
"843",2013,448,"Spring","Black Dogfish"
"844",2013,404,"Spring","Black Dogfish"
"845",2013,416,"Spring","Black Dogfish"
"846",2013,419,"Spring","Black Dogfish"
"847",2013,459,"Spring","Black Dogfish"
"848",2013,462,"Spring","Black Dogfish"
"849",2013,416,"Spring","Black Dogfish"
"850",2013,411,"Spring","Black Dogfish"
"851",2013,450,"Spring","Black Dogfish"
"852",2013,451,"Spring","Black Dogfish"
"853",2013,455,"Spring","Black Dogfish"
"854",2013,450,"Spring","Black Dogfish"
"855",2013,348,"Spring","Black Dogfish"
"856",2013,438,"Spring","Black Dogfish"
"857",2013,473,"Spring","Black Dogfish"
"858",2013,481,"Spring","Black Dogfish"
"859",2013,479,"Spring","Black Dogfish"
"860",2013,459,"Spring","Black Dogfish"
"861",2013,467,"Spring","Black Dogfish"
"862",2013,475,"Spring","Black Dogfish"
"863",2013,446,"Spring","Black Dogfish"
"864",2013,439,"Spring","Black Dogfish"
"865",2013,573,"Spring","Black Dogfish"
"866",2013,586,"Spring","Black Dogfish"
"868",2013,416,"Spring","Black Dogfish"
"870",2013,443,"Spring","Black Dogfish"
"871",2013,289,"Spring","Black Dogfish"
"872",2013,596,"Fall","Black Dogfish"
"873",2013,380,"Fall","Black Dogfish"
"874",2013,575,"Fall","Black Dogfish"
"877",2015,325,"Spring","Black Dogfish"
"878",2015,442,"Spring","Black Dogfish"
"879",2015,453,"Spring","Black Dogfish"
"880",2015,317,"Spring","Black Dogfish"
"881",2015,451,"Spring","Black Dogfish"
"882",2015,445,"Spring","Black Dogfish"
"883",2015,448,"Spring","Black Dogfish"
"884",2015,449,"Spring","Black Dogfish"
"885",2015,451,"Spring","Black Dogfish"
"886",2015,454,"Spring","Black Dogfish"
"887",2015,462,"Spring","Black Dogfish"
"888",2015,464,"Spring","Black Dogfish"
"889",2015,355,"Spring","Black Dogfish"
"890",2015,397,"Spring","Black Dogfish"
"893",2015,577,"Spring","Black Dogfish"
"894",2015,584,"Spring","Black Dogfish"
"896",2015,428,"Spring","Black Dogfish"
"897",2015,414,"Spring","Black Dogfish"
"898",2005,569,"Spring","Black Dogfish"
"899",2005,463,"Spring","Black Dogfish"
"900",2005,488,"Spring","Black Dogfish"
"901",2005,470,"Spring","Black Dogfish"
"902",2005,447,"Spring","Black Dogfish"
"903",2005,461,"Spring","Black Dogfish"
"904",2005,464,"Spring","Black Dogfish"
"905",2005,462,"Spring","Black Dogfish"
"906",2005,453,"Spring","Black Dogfish"
"907",2005,315,"Spring","Black Dogfish"
"908",2005,304,"Spring","Black Dogfish"
"909",2005,454,"Spring","Black Dogfish"
"910",2005,449,"Spring","Black Dogfish"
"911",2005,456,"Spring","Black Dogfish"
"912",2009,398,"Spring","Black Dogfish"
"913",2009,220,"Spring","Black Dogfish"
"914",2009,225,"Spring","Black Dogfish"
"915",2009,327,"Spring","Black Dogfish"
"916",2009,427,"Spring","Black Dogfish"
"917",2009,443,"Spring","Black Dogfish"
"918",2009,391,"Spring","Black Dogfish"
"919",2009,318,"Spring","Black Dogfish"
"920",2009,431,"Spring","Black Dogfish"
"921",2009,425,"Spring","Black Dogfish"
"922",2009,437,"Spring","Black Dogfish"
"923",2009,428,"Spring","Black Dogfish"
"924",2009,458,"Spring","Black Dogfish"
"925",2009,465,"Spring","Black Dogfish"
"926",2009,459,"Spring","Black Dogfish"
"927",2009,453,"Spring","Black Dogfish"
"928",2009,457,"Spring","Black Dogfish"
"929",2009,445,"Spring","Black Dogfish"
"930",2009,451,"Spring","Black Dogfish"
"931",2009,348,"Spring","Black Dogfish"
"932",2009,216,"Spring","Black Dogfish"
"933",2009,467,"Spring","Black Dogfish"
"934",2009,465,"Spring","Black Dogfish"
"935",2009,466,"Spring","Black Dogfish"
"936",2009,488,"Spring","Black Dogfish"
"937",2009,493,"Spring","Black Dogfish"
"938",2009,448,"Spring","Black Dogfish"
"939",2009,447,"Spring","Black Dogfish"
"940",2009,430,"Spring","Black Dogfish"
"941",2009,429,"Spring","Black Dogfish"
"942",2009,417,"Spring","Black Dogfish"
"943",2009,404,"Spring","Black Dogfish"
"944",2009,422,"Spring","Black Dogfish"
"946",2009,584,"Spring","Black Dogfish"
"948",2009,596,"Spring","Black Dogfish"
"950",2009,587,"Fall","Black Dogfish"
"954",2010,315,"Spring","Black Dogfish"
"955",2010,326,"Spring","Black Dogfish"
"956",2010,332,"Spring","Black Dogfish"
"957",2010,406,"Spring","Black Dogfish"
"958",2010,456,"Spring","Black Dogfish"
"959",2010,465,"Spring","Black Dogfish"
"960",2010,433,"Spring","Black Dogfish"
"961",2010,323,"Spring","Black Dogfish"
"962",2010,449,"Spring","Black Dogfish"
"963",2010,453,"Spring","Black Dogfish"
"964",2010,395,"Spring","Black Dogfish"
"965",2010,407,"Spring","Black Dogfish"
"966",2010,442,"Spring","Black Dogfish"
"967",2010,435,"Spring","Black Dogfish"
"968",2010,456,"Spring","Black Dogfish"
"969",2010,433,"Spring","Black Dogfish"
"970",2010,453,"Spring","Black Dogfish"
"971",2010,455,"Spring","Black Dogfish"
"972",2010,453,"Spring","Black Dogfish"
"973",2010,468,"Spring","Black Dogfish"
"974",2010,460,"Spring","Black Dogfish"
"975",2010,448,"Spring","Black Dogfish"
"976",2010,416,"Spring","Black Dogfish"
"977",2010,429,"Spring","Black Dogfish"
"978",2010,447,"Spring","Black Dogfish"
"979",2010,447,"Spring","Black Dogfish"
"980",2010,459,"Spring","Black Dogfish"
"981",2010,448,"Spring","Black Dogfish"
"982",2010,433,"Spring","Black Dogfish"
"983",2010,568,"Spring","Black Dogfish"
"984",2010,558,"Spring","Black Dogfish"
"985",2010,157,"Spring","Black Dogfish"
"986",2010,445,"Spring","Black Dogfish"
"987",2010,582,"Spring","Black Dogfish"
"988",2010,582,"Spring","Black Dogfish"
"990",2010,600,"Spring","Black Dogfish"
"991",2010,398,"Spring","Black Dogfish"
"992",2010,580,"Fall","Black Dogfish"
"994",2010,144,"Fall","Black Dogfish"
"1129",2012,533,"Fall","Black Dogfish"
"1138",2012,579,"Fall","Black Dogfish"
"1146",2013,338,"Fall","Black Dogfish"
"1154",2013,595,"Fall","Black Dogfish"
"1155",2014,456,"Spring","Black Dogfish"
"1156",2014,411,"Spring","Black Dogfish"
"1157",2014,412,"Spring","Black Dogfish"
"1158",2014,438,"Spring","Black Dogfish"
"1159",2014,435,"Spring","Black Dogfish"
"1160",2014,436,"Spring","Black Dogfish"
"1161",2014,398,"Spring","Black Dogfish"
"1162",2014,459,"Spring","Black Dogfish"
"1163",2014,451,"Spring","Black Dogfish"
"1164",2014,462,"Spring","Black Dogfish"
"1165",2014,434,"Spring","Black Dogfish"
"1168",2014,583,"Fall","Black Dogfish"
"1169",2014,574,"Fall","Black Dogfish"
"1184",2014,444,"Spring","Black Dogfish"
"1187",2014,474,"Fall","Black Dogfish"
"1274",2004,230,"Spring","Black Dogfish"
"1378",2010,555,"Fall","Black Dogfish"
"1388",1996,446,"Spring","Spinytail Skate"
"1389",1996,388,"Spring","Spinytail Skate"
"1390",1996,618,"Spring","Spinytail Skate"
"1391",1996,579,"Spring","Spinytail Skate"
"1392",1996,637,"Spring","Spinytail Skate"
"1393",1996,329,"Spring","Spinytail Skate"
"1394",1996,604,"Fall","Spinytail Skate"
"1396",1996,610,"Fall","Spinytail Skate"
"1404",1996,597,"Fall","Spinytail Skate"
"1405",1996,654,"Fall","Spinytail Skate"
"1406",1996,671,"Fall","Spinytail Skate"
"1407",1997,442,"Spring","Spinytail Skate"
"1408",1997,411,"Spring","Spinytail Skate"
"1409",1997,91,"Spring","Spinytail Skate"
"1410",1997,669,"Spring","Spinytail Skate"
"1411",1997,683,"Spring","Spinytail Skate"
"1412",1997,470,"Spring","Spinytail Skate"
"1414",1997,591,"Fall","Spinytail Skate"
"1416",1997,714,"Fall","Spinytail Skate"
"1417",1998,357,"Spring","Spinytail Skate"
"1418",1998,472,"Spring","Spinytail Skate"
"1419",1998,418,"Spring","Spinytail Skate"
"1420",1998,310,"Spring","Spinytail Skate"
"1421",1998,502,"Spring","Spinytail Skate"
"1422",1998,646,"Spring","Spinytail Skate"
"1423",1998,691,"Fall","Spinytail Skate"
"1424",1998,506,"Fall","Spinytail Skate"
"1425",1998,600,"Fall","Spinytail Skate"
"1429",1998,634,"Fall","Spinytail Skate"
"1430",1999,439,"Spring","Spinytail Skate"
"1431",1999,870,"Spring","Spinytail Skate"
"1432",1999,674,"Spring","Spinytail Skate"
"1433",1999,660,"Spring","Spinytail Skate"
"1434",1999,503,"Spring","Spinytail Skate"
"1435",1999,627,"Spring","Spinytail Skate"
"1436",1999,647,"Spring","Spinytail Skate"
"1437",1999,214,"Spring","Spinytail Skate"
"1438",1999,579,"Spring","Spinytail Skate"
"1439",1999,626,"Spring","Spinytail Skate"
"1442",1999,585,"Fall","Spinytail Skate"
"1443",1999,578,"Fall","Spinytail Skate"
"1444",2000,466,"Spring","Spinytail Skate"
"1445",2000,378,"Spring","Spinytail Skate"
"1446",2000,334,"Spring","Spinytail Skate"
"1447",2000,463,"Spring","Spinytail Skate"
"1448",2000,408,"Spring","Spinytail Skate"
"1449",2000,563,"Spring","Spinytail Skate"
"1450",2000,594,"Spring","Spinytail Skate"
"1451",2000,645,"Spring","Spinytail Skate"
"1452",2000,677,"Spring","Spinytail Skate"
"1453",2000,619,"Fall","Spinytail Skate"
"1455",2001,425,"Spring","Spinytail Skate"
"1456",2001,609,"Spring","Spinytail Skate"
"1457",2001,405,"Spring","Spinytail Skate"
"1458",2001,590,"Spring","Spinytail Skate"
"1459",2001,610,"Spring","Spinytail Skate"
"1460",2001,634,"Spring","Spinytail Skate"
"1461",2001,683,"Spring","Spinytail Skate"
"1462",2001,567,"Spring","Spinytail Skate"
"1466",2001,583,"Fall","Spinytail Skate"
"1467",2001,702,"Fall","Spinytail Skate"
"1468",2001,567,"Fall","Spinytail Skate"
"1469",2001,508,"Fall","Spinytail Skate"
"1470",2002,491,"Spring","Spinytail Skate"
"1471",2002,579,"Fall","Spinytail Skate"
"1472",2002,639,"Fall","Spinytail Skate"
"1475",2002,586,"Fall","Spinytail Skate"
"1479",2002,587,"Fall","Spinytail Skate"
"1480",2003,419,"Spring","Spinytail Skate"
"1481",2003,422,"Spring","Spinytail Skate"
"1482",2003,436,"Spring","Spinytail Skate"
"1483",2003,452,"Spring","Spinytail Skate"
"1484",2003,322,"Spring","Spinytail Skate"
"1485",2003,250,"Spring","Spinytail Skate"
"1486",2003,608,"Spring","Spinytail Skate"
"1488",2003,650,"Fall","Spinytail Skate"
"1489",2003,620,"Fall","Spinytail Skate"
"1491",2003,666,"Fall","Spinytail Skate"
"1492",2003,636,"Fall","Spinytail Skate"
"1494",2004,412,"Spring","Spinytail Skate"
"1495",2004,420,"Spring","Spinytail Skate"
"1496",2004,669,"Spring","Spinytail Skate"
"1497",2004,659,"Spring","Spinytail Skate"
"1498",2004,480,"Spring","Spinytail Skate"
"1499",2004,605,"Spring","Spinytail Skate"
"1500",2004,583,"Fall","Spinytail Skate"
"1502",2004,601,"Fall","Spinytail Skate"
"1503",2004,653,"Fall","Spinytail Skate"
"1504",2005,582,"Spring","Spinytail Skate"
"1505",2005,425,"Spring","Spinytail Skate"
"1506",2005,309,"Spring","Spinytail Skate"
"1507",2005,654,"Spring","Spinytail Skate"
"1508",2005,592,"Spring","Spinytail Skate"
"1509",2005,483,"Spring","Spinytail Skate"
"1510",2005,577,"Spring","Spinytail Skate"
"1511",2005,615,"Spring","Spinytail Skate"
"1512",2005,639,"Spring","Spinytail Skate"
"1513",2005,616,"Fall","Spinytail Skate"
"1514",2005,616,"Fall","Spinytail Skate"
"1515",2005,627,"Fall","Spinytail Skate"
"1516",2005,706,"Fall","Spinytail Skate"
"1517",2005,570,"Fall","Spinytail Skate"
"1518",2006,424,"Spring","Spinytail Skate"
"1519",2006,668,"Spring","Spinytail Skate"
"1520",2006,461,"Spring","Spinytail Skate"
"1521",2006,426,"Spring","Spinytail Skate"
"1522",2006,609,"Spring","Spinytail Skate"
"1523",2006,579,"Fall","Spinytail Skate"
"1524",2006,674,"Fall","Spinytail Skate"
"1525",2006,610,"Fall","Spinytail Skate"
"1528",2007,289,"Spring","Spinytail Skate"
"1529",2007,453,"Spring","Spinytail Skate"
"1530",2007,435,"Spring","Spinytail Skate"
"1531",2007,420,"Spring","Spinytail Skate"
"1532",2007,616,"Spring","Spinytail Skate"
"1533",2007,458,"Spring","Spinytail Skate"
"1534",2007,593,"Fall","Spinytail Skate"
"1535",2007,581,"Fall","Spinytail Skate"
"1536",2007,583,"Fall","Spinytail Skate"
"1539",2007,630,"Fall","Spinytail Skate"
"1540",2007,676,"Fall","Spinytail Skate"
"1542",2007,626,"Spring","Spinytail Skate"
"1543",2007,601,"Spring","Spinytail Skate"
"1544",2007,701,"Spring","Spinytail Skate"
"1545",2008,283,"Spring","Spinytail Skate"
"1546",2008,419,"Spring","Spinytail Skate"
"1547",2008,460,"Spring","Spinytail Skate"
"1548",2008,413,"Spring","Spinytail Skate"
"1549",2008,227,"Spring","Spinytail Skate"
"1550",2008,387,"Spring","Spinytail Skate"
"1552",2008,636,"Fall","Spinytail Skate"
"1553",2008,585,"Fall","Spinytail Skate"
"1554",2008,623,"Fall","Spinytail Skate"
"1557",2008,630,"Fall","Spinytail Skate"
"1559",2001,574,"Fall","Spinytail Skate"
"1560",2001,523,"Fall","Spinytail Skate"
"1561",2011,452,"Spring","Spinytail Skate"
"1562",2011,645,"Spring","Spinytail Skate"
"1563",2011,480,"Spring","Spinytail Skate"
"1564",2011,290,"Spring","Spinytail Skate"
"1568",2012,402,"Spring","Spinytail Skate"
"1569",2012,416,"Spring","Spinytail Skate"
"1570",2012,621,"Spring","Spinytail Skate"
"1571",2012,320,"Spring","Spinytail Skate"
"1572",2012,305,"Spring","Spinytail Skate"
"1573",2012,654,"Spring","Spinytail Skate"
"1574",2012,294,"Spring","Spinytail Skate"
"1575",2012,674,"Spring","Spinytail Skate"
"1576",2012,662,"Spring","Spinytail Skate"
"1577",2012,616,"Fall","Spinytail Skate"
"1578",2012,589,"Fall","Spinytail Skate"
"1579",2012,611,"Fall","Spinytail Skate"
"1582",2012,589,"Fall","Spinytail Skate"
"1584",2012,641,"Fall","Spinytail Skate"
"1587",2013,479,"Spring","Spinytail Skate"
"1588",2013,573,"Spring","Spinytail Skate"
"1589",2013,96,"Spring","Spinytail Skate"
"1590",2013,649,"Spring","Spinytail Skate"
"1591",2013,604,"Spring","Spinytail Skate"
"1592",2013,425,"Spring","Spinytail Skate"
"1593",2013,613,"Spring","Spinytail Skate"
"1594",2013,596,"Fall","Spinytail Skate"
"1596",2013,596,"Fall","Spinytail Skate"
"1597",2014,498,"Spring","Spinytail Skate"
"1598",2014,397,"Spring","Spinytail Skate"
"1599",2015,442,"Spring","Spinytail Skate"
"1600",2015,584,"Spring","Spinytail Skate"
"1601",2015,280,"Spring","Spinytail Skate"
"1602",2015,685,"Spring","Spinytail Skate"
"1603",2005,308,"Spring","Spinytail Skate"
"1604",2005,430,"Spring","Spinytail Skate"
"1605",2005,405,"Spring","Spinytail Skate"
"1606",2005,569,"Fall","Spinytail Skate"
"1607",2005,615,"Fall","Spinytail Skate"
"1608",2009,443,"Spring","Spinytail Skate"
"1609",2009,437,"Spring","Spinytail Skate"
"1610",2009,457,"Spring","Spinytail Skate"
"1611",2009,467,"Spring","Spinytail Skate"
"1612",2009,598,"Spring","Spinytail Skate"
"1613",2009,232,"Spring","Spinytail Skate"
"1614",2009,618,"Spring","Spinytail Skate"
"1615",2009,664,"Spring","Spinytail Skate"
"1616",2009,676,"Spring","Spinytail Skate"
"1617",2009,629,"Spring","Spinytail Skate"
"1619",2009,696,"Fall","Spinytail Skate"
"1620",2009,666,"Fall","Spinytail Skate"
"1622",2009,708,"Fall","Spinytail Skate"
"1623",2009,628,"Fall","Spinytail Skate"
"1627",2010,453,"Spring","Spinytail Skate"
"1628",2010,442,"Spring","Spinytail Skate"
"1629",2010,435,"Spring","Spinytail Skate"
"1630",2010,447,"Spring","Spinytail Skate"
"1631",2010,310,"Spring","Spinytail Skate"
"1632",2010,604,"Spring","Spinytail Skate"
"1633",2010,627,"Spring","Spinytail Skate"
"1634",2010,648,"Spring","Spinytail Skate"
"1635",2010,380,"Spring","Spinytail Skate"
"1636",2010,430,"Spring","Spinytail Skate"
"1637",2010,421,"Spring","Spinytail Skate"
"1638",2010,502,"Fall","Spinytail Skate"
"1642",1996,934,"Fall","Spinytail Skate"
"1643",1996,1105,"Fall","Spinytail Skate"
"1644",1996,1121,"Fall","Spinytail Skate"
"1645",1996,1335,"Fall","Spinytail Skate"
"1646",1996,867,"Fall","Spinytail Skate"
"1647",1996,1364,"Fall","Spinytail Skate"
"1648",1996,1240,"Fall","Spinytail Skate"
"1649",1996,922,"Fall","Spinytail Skate"
"1650",1996,660,"Fall","Spinytail Skate"
"1652",1996,1054,"Fall","Spinytail Skate"
"1653",1996,999,"Fall","Spinytail Skate"
"1654",1996,869,"Fall","Spinytail Skate"
"1655",1996,1069,"Fall","Spinytail Skate"
"1656",1996,1367,"Fall","Spinytail Skate"
"1657",1996,670,"Fall","Spinytail Skate"
"1660",1996,1368,"Fall","Spinytail Skate"
"1661",1996,1136,"Fall","Spinytail Skate"
"1662",1996,1019,"Fall","Spinytail Skate"
"1663",1996,893,"Fall","Spinytail Skate"
"1664",1996,1223,"Fall","Spinytail Skate"
"1665",1996,1374,"Fall","Spinytail Skate"
"1666",1996,1177,"Fall","Spinytail Skate"
"1667",1996,613,"Fall","Spinytail Skate"
"1668",1996,695,"Fall","Spinytail Skate"
"1669",1996,690,"Fall","Spinytail Skate"
"1671",1997,1157,"Fall","Spinytail Skate"
"1672",1997,1382,"Fall","Spinytail Skate"
"1674",1997,1108,"Fall","Spinytail Skate"
"1675",1997,1379,"Fall","Spinytail Skate"
"1676",1997,621,"Fall","Spinytail Skate"
"1677",1997,1162,"Fall","Spinytail Skate"
"1678",1997,870,"Fall","Spinytail Skate"
"1679",1997,680,"Fall","Spinytail Skate"
"1680",1997,1125,"Fall","Spinytail Skate"
"1681",1997,1173,"Fall","Spinytail Skate"
"1684",1997,1119,"Fall","Spinytail Skate"
"1685",1997,1294,"Fall","Spinytail Skate"
"1686",1997,1431,"Fall","Spinytail Skate"
"1687",1997,1083,"Fall","Spinytail Skate"
"1688",1997,1176,"Fall","Spinytail Skate"
"1689",1997,1160,"Fall","Spinytail Skate"
"1690",1997,807,"Fall","Spinytail Skate"
"1691",1997,878,"Fall","Spinytail Skate"
"1692",1997,1150,"Fall","Spinytail Skate"
"1693",1997,1157,"Fall","Spinytail Skate"
"1694",1998,964,"Fall","Spinytail Skate"
"1695",1998,1130,"Fall","Spinytail Skate"
"1696",1998,1473,"Fall","Spinytail Skate"
"1697",1998,1075,"Fall","Spinytail Skate"
"1699",1998,569,"Fall","Spinytail Skate"
"1700",1998,1166,"Fall","Spinytail Skate"
"1702",1998,1415,"Fall","Spinytail Skate"
"1703",1998,1172,"Fall","Spinytail Skate"
"1704",1998,1122,"Fall","Spinytail Skate"
